Year,Month,Origin,Destination,Trips,Base Fare,Revenue,CommuteTime_Mins,OD_Distance_km
2022,April,SHA,NOR,113883,20,2277660,17,8.7
2022,April,BON,NOR,52697,20,1053940,19,9.71
2022,April,GUA,NOR,58005,24,1392120,20,10.43
2022,April,BUE,NOR,23104,24,554496,24,12.33
2022,April,AYA,NOR,74769,24,1794456,27,13.56
2022,April,MAG,NOR,28123,28,787444,30,14.8
2022,April,TAF,NOR,86285,28,2415980,34,16.74
2022,May,NOR,NOR,1429,0,0,0,0
2022,May,QUE,NOR,27032,13,351416,3,1.23
2022,May,GMA,NOR,30456,13,395928,5,2.21
2022,May,CUB,NOR,172208,16,2755328,9,4.14
2022,May,SAN,NOR,18895,16,302320,12,5.54
2022,May,ORT,NOR,86533,20,1730660,16,7.88
2022,May,SHA,NOR,143942,20,2878840,17,8.7
2022,May,BON,NOR,65608,20,1312160,19,9.71
2022,May,GUA,NOR,72344,24,1736256,20,10.43
2022,May,BUE,NOR,26442,24,634608,24,12.33
2022,May,AYA,NOR,97048,24,2329152,27,13.56
2022,May,MAG,NOR,36848,28,1031744,30,14.8
2022,May,TAF,NOR,100396,28,2811088,34,16.74
2022,June,NOR,NOR,2775,0,0,0,0
2022,June,QUE,NOR,31512,13,409656,3,1.23
2022,June,GMA,NOR,35436,13,460668,5,2.21
2022,June,CUB,NOR,188282,16,3012512,9,4.14
2022,June,SAN,NOR,21114,16,337824,12,5.54
2022,June,ORT,NOR,96661,20,1933220,16,7.88
2022,June,SHA,NOR,157341,20,3146820,17,8.7
2022,June,BON,NOR,68293,20,1365860,19,9.71
2022,June,GUA,NOR,80487,24,1931688,20,10.43
2022,June,BUE,NOR,28388,24,681312,24,12.33
2022,June,AYA,NOR,100990,24,2423760,27,13.56
2022,June,MAG,NOR,40854,28,1143912,30,14.8
2022,June,TAF,NOR,109363,28,3062164,34,16.74
2022,July,NOR,NOR,806,0,0,0,0
2022,July,QUE,NOR,21760,13,282880,3,1.23
2022,July,GMA,NOR,26236,13,341068,5,2.21
2022,July,CUB,NOR,156884,16,2510144,9,4.14
2022,July,SAN,NOR,18465,16,295440,12,5.54
2022,July,ORT,NOR,79825,20,1596500,16,7.88
2022,July,SHA,NOR,137944,20,2758880,17,8.7
2022,July,BON,NOR,60087,20,1201740,19,9.71
2022,July,GUA,NOR,60214,24,1445136,20,10.43
2022,July,BUE,NOR,23538,24,564912,24,12.33
2022,July,AYA,NOR,82261,24,1974264,27,13.56
2022,July,MAG,NOR,32832,28,919296,30,14.8
2022,July,TAF,NOR,78192,28,2189376,34,16.74
2022,August,NOR,NOR,497,0,0,0,0
2022,August,QUE,NOR,20958,13,272454,3,1.23
2022,August,GMA,NOR,24580,13,319540,5,2.21
2022,August,CUB,NOR,153939,16,2463024,9,4.14
2022,August,SAN,NOR,17516,16,280256,12,5.54
2022,August,ORT,NOR,77697,20,1553940,16,7.88
2022,August,SHA,NOR,136111,20,2722220,17,8.7
2022,August,BON,NOR,61535,20,1230700,19,9.71
2022,August,GUA,NOR,57319,24,1375656,20,10.43
2022,August,BUE,NOR,23976,24,575424,24,12.33
2022,August,AYA,NOR,81862,24,1964688,27,13.56
2022,August,MAG,NOR,32976,28,923328,30,14.8
2022,August,TAF,NOR,72727,28,2036356,34,16.74
2022,September,NOR,NOR,462,0,0,0,0
2022,September,QUE,NOR,19726,13,256438,3,1.23
2022,September,GMA,NOR,22951,13,298363,5,2.21
2022,September,CUB,NOR,146175,16,2338800,9,4.14
2022,September,SAN,NOR,17423,16,278768,12,5.54
2022,September,ORT,NOR,73759,20,1475180,16,7.88
2022,September,SHA,NOR,131493,20,2629860,17,8.7
2022,September,BON,NOR,59480,20,1189600,19,9.71
2022,September,GUA,NOR,53860,24,1292640,20,10.43
2022,September,BUE,NOR,23116,24,554784,24,12.33
2022,September,AYA,NOR,79819,24,1915656,27,13.56
2022,September,MAG,NOR,32160,28,900480,30,14.8
2022,September,TAF,NOR,66849,28,1871772,34,16.74
2022,October,NOR,NOR,481,0,0,0,0
2022,October,QUE,NOR,18945,13,246285,3,1.23
2022,October,GMA,NOR,23303,13,302939,5,2.21
2022,October,CUB,NOR,152628,16,2442048,9,4.14
2022,October,SAN,NOR,17178,16,274848,12,5.54
2022,October,ORT,NOR,73222,20,1464440,16,7.88
2022,October,SHA,NOR,137205,20,2744100,17,8.7
2022,October,BON,NOR,61983,20,1239660,19,9.71
2022,October,GUA,NOR,54364,24,1304736,20,10.43
2022,October,BUE,NOR,21988,24,527712,24,12.33
2022,October,AYA,NOR,78855,24,1892520,27,13.56
2022,October,MAG,NOR,32758,28,917224,30,14.8
2022,October,TAF,NOR,70390,28,1970920,34,16.74
2022,November,NOR,NOR,685,0,0,0,0
2022,November,QUE,NOR,18430,13,239590,3,1.23
2022,November,GMA,NOR,22632,13,294216,5,2.21
2022,November,CUB,NOR,150701,16,2411216,9,4.14
2022,November,SAN,NOR,16751,16,268016,12,5.54
2022,November,ORT,NOR,71899,20,1437980,16,7.88
2022,November,SHA,NOR,135506,20,2710120,17,8.7
2022,November,BON,NOR,63447,20,1268940,19,9.71
2022,November,GUA,NOR,55024,24,1320576,20,10.43
2022,November,BUE,NOR,22101,24,530424,24,12.33
2022,November,AYA,NOR,81347,24,1952328,27,13.56
2022,November,MAG,NOR,33258,28,931224,30,14.8
2022,November,TAF,NOR,69611,28,1949108,34,16.74
2022,December,NOR,NOR,461,0,0,0,0
2022,December,QUE,NOR,21994,13,285922,3,1.23
2022,December,GMA,NOR,24477,13,318201,5,2.21
2022,December,CUB,NOR,161940,16,2591040,9,4.14
2022,December,SAN,NOR,18120,16,289920,12,5.54
2022,December,ORT,NOR,75941,20,1518820,16,7.88
2022,December,SHA,NOR,140157,20,2803140,17,8.7
2022,December,BON,NOR,61713,20,1234260,19,9.71
2022,December,GUA,NOR,59254,24,1422096,20,10.43
2022,December,BUE,NOR,21593,24,518232,24,12.33
2022,December,AYA,NOR,82290,24,1974960,27,13.56
2022,December,MAG,NOR,31828,28,891184,30,14.8
2022,December,TAF,NOR,86432,28,2420096,34,16.74
2022,January,NOR,QUE,15641,13,203333,3,1.23
2022,January,QUE,QUE,161,0,0,0,0
2022,January,GMA,QUE,1909,13,24817,2,0.98
2022,January,CUB,QUE,24679,13,320827,6,2.91
2022,January,SAN,QUE,2838,16,45408,9,4.31
2022,January,ORT,QUE,15648,16,250368,13,6.65
2022,January,SHA,QUE,22825,20,456500,14,7.47
2022,January,BON,QUE,11123,20,222460,16,8.48
2022,January,GUA,QUE,18022,20,360440,17,9.2
2022,January,BUE,QUE,4755,24,114120,21,11.1
2022,January,AYA,QUE,16200,24,388800,24,12.33
2022,January,MAG,QUE,7271,24,174504,27,13.57
2022,January,TAF,QUE,20690,28,579320,31,15.51
2022,February,NOR,QUE,18059,13,234767,3,1.23
2022,February,QUE,QUE,178,0,0,0,0
